zip_code,year,total_vehicles,ev_count,ev_percentage,ev_growth,total_vehicles_clean,make_hhi,top_make_share,anomaly_score,is_anomaly
94105,2024,5943,1005,16.91,4.34,5943,0.5913753998563219,0.7588759885579673,0.5994872381401959,True
94128,2024,569,5,0.88,0.4,569,0.8484437594398337,0.9173989455184535,0.592678024630971,True
94112,2024,44448,2584,5.81,1.35,44448,0.19818049410258842,0.2923866090712743,0.5741428674374809,True
94104,2024,1364,104,7.62,-2.02,1364,0.37073877073640576,0.5777126099706745,0.5711048190669133,True
94130,2024,893,53,5.94,1.46,893,1.0,1.0,0.5478252946139172,True
94158,2024,3575,542,15.16,2.56,3575,0.7352774218788204,0.8511888111888112,0.5397066724481344,False
94108,2024,3026,185,6.11,1.01,3026,0.9570994976779783,0.9781890284203569,0.530022761935113,False
94107,2024,17064,3077,18.03,0.52,17064,0.28578228781132076,0.5119549929676512,0.5287058113769877,False
94111,2024,2385,211,8.85,2.18,2385,0.8924627629884543,0.9442348008385745,0.4978567400630501,False
94129,2024,1889,192,10.16,1.91,1889,0.876143429921243,0.9354155637903653,0.494037448896471,False
94124,2024,31346,1610,5.14,1.02,31346,0.25283878210066446,0.42873093855675365,0.4918024196438813,False
94102,2024,7781,534,6.86,1.44,7781,0.6573821788766018,0.8051664310499935,0.4705513291802358,False
94122,2024,29691,2327,7.84,1.67,29691,0.2076889871892249,0.35158802330672595,0.46979012802417797,False
94127,2024,13392,1521,11.36,2.34,13392,0.466195636600392,0.6708482676224612,0.45276054606830424,False
94133,2024,9354,605,6.47,1.53,9354,0.54954814842549,0.7312379730596537,0.4498343611534586,False
94134,2024,24624,1366,5.55,1.42,24624,0.2597620024532187,0.3967267706302794,0.4436673096854581,False
94110,2024,30283,2258,7.46,1.52,30283,0.22598604986286783,0.4044843641647129,0.43908682139706057,False
94116,2024,26085,2183,8.37,1.73,26085,0.23527763898630008,0.39509296530573124,0.4341642157887016,False
94123,2024,13305,1256,9.44,2.58,13305,0.3217799322997672,0.5518226230740323,0.4284526859402201,False
94103,2024,12279,1168,9.51,1.69,12279,0.4470556600066984,0.6529847707468035,0.4263575339622628,False
94114,2024,16523,2021,12.23,2.26,16523,0.29393124589435116,0.517460509592689,0.4217638724969482,False
94131,2024,16324,1886,11.55,1.98,16324,0.338737921401831,0.5555623621661357,0.4105809482058685,False
94121,2024,21163,1710,8.08,1.9,21163,0.26969479570873206,0.45782734016916316,0.4050517538524221,False
94132,2024,14296,1094,7.65,1.72,14296,0.37549117405473653,0.5709289311695579,0.3990249179972262,False
94109,2024,17713,1254,7.08,1.54,17713,0.2793176220933783,0.4984474679613843,0.3862460240346993,False
94115,2024,15214,1246,8.19,1.5,15214,0.34436953268032744,0.5678322597607467,0.3850694618543773,False
94118,2024,19236,1589,8.26,1.57,19236,0.2842979169636747,0.49396964025784984,0.38344018387153755,False
94117,2024,16280,1412,8.67,1.53,16280,0.29653001225482795,0.5135135135135135,0.37889975370816564,False
