zip_code,year,total_vehicles,ev_count,ev_percentage,ev_growth,cluster_kmeans,cluster_dbscan
94102,2024,7781,534,6.86,1.44,3,-1
94103,2024,12279,1168,9.51,1.69,3,0
94104,2024,1364,104,7.62,-2.02,2,-1
94105,2024,5943,1005,16.91,4.34,0,-1
94107,2024,17064,3077,18.03,0.52,0,-1
94108,2024,3026,185,6.11,1.01,3,-1
94109,2024,17713,1254,7.08,1.54,3,0
94110,2024,30283,2258,7.46,1.52,1,0
94111,2024,2385,211,8.85,2.18,3,-1
94112,2024,44448,2584,5.81,1.35,1,-1
94114,2024,16523,2021,12.23,2.26,0,1
94115,2024,15214,1246,8.19,1.5,3,0
94116,2024,26085,2183,8.37,1.73,1,0
94117,2024,16280,1412,8.67,1.53,3,0
94118,2024,19236,1589,8.26,1.57,3,0
94121,2024,21163,1710,8.08,1.9,3,0
94122,2024,29691,2327,7.84,1.67,1,0
94123,2024,13305,1256,9.44,2.58,3,-1
94124,2024,31346,1610,5.14,1.02,1,-1
94127,2024,13392,1521,11.36,2.34,0,1
94128,2024,569,5,0.88,0.4,2,-1
94129,2024,1889,192,10.16,1.91,3,-1
94130,2024,893,53,5.94,1.46,3,-1
94131,2024,16324,1886,11.55,1.98,0,1
94132,2024,14296,1094,7.65,1.72,3,0
94133,2024,9354,605,6.47,1.53,3,-1
94134,2024,24624,1366,5.55,1.42,1,-1
94158,2024,3575,542,15.16,2.56,0,-1
