zip_code,year,total_vehicles,ev_count,ev_percentage,ev_growth
94102,2022,7974,345,4.33,
94102,2023,7922,429,5.42,1.09
94102,2024,7781,534,6.86,1.44
94103,2022,12069,716,5.93,
94103,2023,12278,960,7.82,1.89
94103,2024,12279,1168,9.51,1.69
94104,2022,1948,94,4.83,
94104,2023,1856,179,9.64,4.81
94104,2024,1364,104,7.62,-2.02
94105,2022,15086,637,4.22,
94105,2023,6342,797,12.57,8.35
94105,2024,5943,1005,16.91,4.34
94107,2022,16080,1542,9.59,
94107,2023,17337,3036,17.51,7.92
94107,2024,17064,3077,18.03,0.52
94108,2022,3189,130,4.08,
94108,2023,3076,157,5.1,1.02
94108,2024,3026,185,6.11,1.01
94109,2022,18117,719,3.97,
94109,2023,17766,985,5.54,1.57
94109,2024,17713,1254,7.08,1.54
94110,2022,30806,1415,4.59,
94110,2023,30550,1815,5.94,1.35
94110,2024,30283,2258,7.46,1.52
94111,2022,2383,126,5.29,
94111,2023,2427,162,6.67,1.38
94111,2024,2385,211,8.85,2.18
94112,2022,45386,1289,2.84,
94112,2023,44839,2001,4.46,1.62
94112,2024,44448,2584,5.81,1.35
94114,2022,16583,1327,8.0,
94114,2023,16496,1644,9.97,1.97
94114,2024,16523,2021,12.23,2.26
94115,2022,15690,797,5.08,
94115,2023,15372,1028,6.69,1.61
94115,2024,15214,1246,8.19,1.5
94116,2022,26577,1199,4.51,
94116,2023,26330,1749,6.64,2.13
94116,2024,26085,2183,8.37,1.73
94117,2022,16612,915,5.51,
94117,2023,16413,1172,7.14,1.63
94117,2024,16280,1412,8.67,1.53
94118,2022,19476,934,4.8,
94118,2023,19133,1280,6.69,1.89
94118,2024,19236,1589,8.26,1.57
94121,2022,21296,925,4.34,
94121,2023,21324,1317,6.18,1.84
94121,2024,21163,1710,8.08,1.9
94122,2022,30431,1286,4.23,
94122,2023,29917,1847,6.17,1.94
94122,2024,29691,2327,7.84,1.67
94123,2022,13414,726,5.41,
94123,2023,13373,918,6.86,1.45
94123,2024,13305,1256,9.44,2.58
94124,2022,33072,985,2.98,
94124,2023,32885,1356,4.12,1.14
94124,2024,31346,1610,5.14,1.02
94127,2022,13546,898,6.63,
94127,2023,13548,1222,9.02,2.39
94127,2024,13392,1521,11.36,2.34
94128,2022,638,2,0.31,
94128,2023,629,3,0.48,0.17
94128,2024,569,5,0.88,0.4
94129,2022,1928,135,7.0,
94129,2023,1975,163,8.25,1.25
94129,2024,1889,192,10.16,1.91
94130,2022,1001,28,2.8,
94130,2023,937,42,4.48,1.68
94130,2024,893,53,5.94,1.46
94131,2022,16510,1206,7.3,
94131,2023,16455,1575,9.57,2.27
94131,2024,16324,1886,11.55,1.98
94132,2022,14150,540,3.82,
94132,2023,14168,840,5.93,2.11
94132,2024,14296,1094,7.65,1.72
94133,2022,9702,370,3.81,
94133,2023,9544,471,4.94,1.13
94133,2024,9354,605,6.47,1.53
94134,2022,25312,640,2.53,
94134,2023,25071,1035,4.13,1.6
94134,2024,24624,1366,5.55,1.42
94158,2022,3424,332,9.7,
94158,2023,3397,428,12.6,2.9
94158,2024,3575,542,15.16,2.56
